Sexo;Comunidad autónoma;Tipos atención sanitaria;Sí o no;Total
Ambos sexos;Canarias;Medicamento recetado;TOTAL;1.936,1
Ambos sexos;Canarias;Medicamento recetado;Sí;34,2
Ambos sexos;Canarias;Medicamento recetado;No;1.560,9
Ambos sexos;Canarias;Medicamento recetado;No necesitó asistencia;341,0
Ambos sexos;Canarias;Medicamento recetado;No consta;0,0
Ambos sexos;Canarias;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.936,1
Ambos sexos;Canarias;Atención salud mental (psicólogo, psiquiatra...);Sí;27,4
Ambos sexos;Canarias;Atención salud mental (psicólogo, psiquiatra...);No;953,7
Ambos sexos;Canarias;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;955,0
Ambos sexos;Canarias;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Cantabria;Atención médica;TOTAL;500,1
Ambos sexos;Cantabria;Atención médica;Sí;0,9
Ambos sexos;Cantabria;Atención médica;No;499,2
Ambos sexos;Cantabria;Atención médica;No necesitó asistencia;0,0
Ambos sexos;Cantabria;Atención médica;No consta;0,0
Ambos sexos;Cantabria;Atención dental;TOTAL;500,1
Ambos sexos;Cantabria;Atención dental;Sí;5,1
Ambos sexos;Cantabria;Atención dental;No;495,0
Ambos sexos;Cantabria;Atención dental;No necesitó asistencia;0,0
Ambos sexos;Cantabria;Atención dental;No consta;0,0
Ambos sexos;Cantabria;Medicamento recetado;TOTAL;500,1
Ambos sexos;Cantabria;Medicamento recetado;Sí;0,8
Ambos sexos;Cantabria;Medicamento recetado;No;499,2
Ambos sexos;Cantabria;Medicamento recetado;No necesitó asistencia;0,0
Ambos sexos;Cantabria;Medicamento recetado;No consta;0,0
Ambos sexos;Cantabria;Atención salud mental (psicólogo, psiquiatra...);TOTAL;500,1
Ambos sexos;Cantabria;Atención salud mental (psicólogo, psiquiatra...);Sí;0,3
Ambos sexos;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No;498,8
Ambos sexos;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;0,8
Ambos sexos;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No consta;0,2
Ambos sexos;Castilla y León;Atención médica;TOTAL;2.063,7
Ambos sexos;Castilla y León;Atención médica;Sí;16,9
Ambos sexos;Castilla y León;Atención médica;No;1.968,5
Ambos sexos;Castilla y León;Atención médica;No necesitó asistencia;78,3
Ambos sexos;Castilla y León;Atención médica;No consta;0,0
Ambos sexos;Castilla y León;Atención dental;TOTAL;2.063,7
Ambos sexos;Castilla y León;Atención dental;Sí;139,5
Ambos sexos;Castilla y León;Atención dental;No;1.639,9
Ambos sexos;Castilla y León;Atención dental;No necesitó asistencia;284,3
Ambos sexos;Castilla y León;Atención dental;No consta;0,0
Ambos sexos;Castilla y León;Medicamento recetado;TOTAL;2.063,7
Ambos sexos;Castilla y León;Medicamento recetado;Sí;25,2
Ambos sexos;Castilla y León;Medicamento recetado;No;1.776,9
Ambos sexos;Castilla y León;Medicamento recetado;No necesitó asistencia;261,3
Ambos sexos;Castilla y León;Medicamento recetado;No consta;0,3
Ambos sexos;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);TOTAL;2.063,7
Ambos sexos;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);Sí;20,6
Ambos sexos;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No;1.060,4
Ambos sexos;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;982,7
Ambos sexos;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Castilla - La Mancha;Atención médica;TOTAL;1.709,7
Ambos sexos;Castilla - La Mancha;Atención médica;Sí;25,1
Ambos sexos;Castilla - La Mancha;Atención médica;No;1.615,5
Ambos sexos;Castilla - La Mancha;Atención médica;No necesitó asistencia;68,7
Ambos sexos;Castilla - La Mancha;Atención médica;No consta;0,4
Ambos sexos;Castilla - La Mancha;Atención dental;TOTAL;1.709,7
Ambos sexos;Castilla - La Mancha;Atención dental;Sí;176,4
Ambos sexos;Castilla - La Mancha;Atención dental;No;1.152,8
Ambos sexos;Castilla - La Mancha;Atención dental;No necesitó asistencia;376,7
Ambos sexos;Castilla - La Mancha;Atención dental;No consta;3,7
Ambos sexos;Castilla - La Mancha;Medicamento recetado;TOTAL;1.709,7
Ambos sexos;Castilla - La Mancha;Medicamento recetado;Sí;3,9
Ambos sexos;Castilla - La Mancha;Medicamento recetado;No;1.546,8
Ambos sexos;Castilla - La Mancha;Medicamento recetado;No necesitó asistencia;158,6
Ambos sexos;Castilla - La Mancha;Medicamento recetado;No consta;0,4
Ambos sexos;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.709,7
Ambos sexos;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);Sí;7,4
Ambos sexos;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No;911,7
Ambos sexos;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;790,2
Ambos sexos;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No consta;0,4
Ambos sexos;Cataluña;Atención médica;TOTAL;6.397,6
Ambos sexos;Cataluña;Atención médica;Sí;57,4
Ambos sexos;Cataluña;Atención médica;No;6.005,7
Ambos sexos;Cataluña;Atención médica;No necesitó asistencia;333,6
Ambos sexos;Cataluña;Atención médica;No consta;0,9
Ambos sexos;Cataluña;Atención dental;TOTAL;6.397,6
Ambos sexos;Cataluña;Atención dental;Sí;548,1
Ambos sexos;Cataluña;Atención dental;No;5.127,1
Ambos sexos;Cataluña;Atención dental;No necesitó asistencia;721,6
Ambos sexos;Cataluña;Atención dental;No consta;0,9
Ambos sexos;Cataluña;Medicamento recetado;TOTAL;6.397,6
Ambos sexos;Cataluña;Medicamento recetado;Sí;57,2
Ambos sexos;Cataluña;Medicamento recetado;No;5.674,1
Ambos sexos;Cataluña;Medicamento recetado;No necesitó asistencia;665,4
Ambos sexos;Cataluña;Medicamento recetado;No consta;0,9
Ambos sexos;Cataluña;Atención salud mental (psicólogo, psiquiatra...);TOTAL;6.397,6
Ambos sexos;Cataluña;Atención salud mental (psicólogo, psiquiatra...);Sí;39,6
Ambos sexos;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No;4.248,6
Ambos sexos;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;2.108,5
Ambos sexos;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No consta;0,9
Ambos sexos;Comunitat Valenciana;Atención médica;TOTAL;4.255,3
Ambos sexos;Comunitat Valenciana;Atención médica;Sí;53,0
Ambos sexos;Comunitat Valenciana;Atención médica;No;3.989,2
Ambos sexos;Comunitat Valenciana;Atención médica;No necesitó asistencia;213,1
Ambos sexos;Comunitat Valenciana;Atención médica;No consta;0,0
Ambos sexos;Comunitat Valenciana;Atención dental;TOTAL;4.255,3
Ambos sexos;Comunitat Valenciana;Atención dental;Sí;556,5
Ambos sexos;Comunitat Valenciana;Atención dental;No;3.006,9
Ambos sexos;Comunitat Valenciana;Atención dental;No necesitó asistencia;691,8
Ambos sexos;Comunitat Valenciana;Atención dental;No consta;0,0
Ambos sexos;Comunitat Valenciana;Medicamento recetado;TOTAL;4.255,3
Ambos sexos;Comunitat Valenciana;Medicamento recetado;Sí;81,8
Ambos sexos;Comunitat Valenciana;Medicamento recetado;No;3.654,2
Ambos sexos;Comunitat Valenciana;Medicamento recetado;No necesitó asistencia;519,2
Ambos sexos;Comunitat Valenciana;Medicamento recetado;No consta;0,0
Ambos sexos;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);TOTAL;4.255,3
Ambos sexos;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);Sí;38,6
Ambos sexos;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No;1.245,1
Ambos sexos;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;2.971,6
Ambos sexos;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Extremadura;Atención médica;TOTAL;904,8
Ambos sexos;Extremadura;Atención médica;Sí;17,0
Ambos sexos;Extremadura;Atención médica;No;771,5
Ambos sexos;Extremadura;Atención médica;No necesitó asistencia;116,4
Ambos sexos;Extremadura;Atención médica;No consta;0,0
Ambos sexos;Extremadura;Atención dental;TOTAL;904,8
Ambos sexos;Extremadura;Atención dental;Sí;22,2
Ambos sexos;Extremadura;Atención dental;No;649,0
Ambos sexos;Extremadura;Atención dental;No necesitó asistencia;233,7
Ambos sexos;Extremadura;Atención dental;No consta;0,0
Ambos sexos;Extremadura;Medicamento recetado;TOTAL;904,8
Ambos sexos;Extremadura;Medicamento recetado;Sí;6,6
Ambos sexos;Extremadura;Medicamento recetado;No;625,5
Ambos sexos;Extremadura;Medicamento recetado;No necesitó asistencia;272,8
Ambos sexos;Extremadura;Medicamento recetado;No consta;0,0
Ambos sexos;Extremadura;Atención salud mental (psicólogo, psiquiatra...);TOTAL;904,8
Ambos sexos;Extremadura;Atención salud mental (psicólogo, psiquiatra...);Sí;1,0
Ambos sexos;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No;239,0
Ambos sexos;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;664,8
Ambos sexos;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Galicia;Atención médica;TOTAL;2.360,6
Ambos sexos;Galicia;Atención médica;Sí;138,5
Ambos sexos;Galicia;Atención médica;No;2.145,7
Ambos sexos;Galicia;Atención médica;No necesitó asistencia;69,5
Ambos sexos;Galicia;Atención médica;No consta;6,9
Ambos sexos;Galicia;Atención dental;TOTAL;2.360,6
Ambos sexos;Galicia;Atención dental;Sí;359,8
Ambos sexos;Galicia;Atención dental;No;1.783,5
Ambos sexos;Galicia;Atención dental;No necesitó asistencia;210,1
Ambos sexos;Galicia;Atención dental;No consta;7,3
Ambos sexos;Galicia;Medicamento recetado;TOTAL;2.360,6
Ambos sexos;Galicia;Medicamento recetado;Sí;36,1
Ambos sexos;Galicia;Medicamento recetado;No;2.094,1
Ambos sexos;Galicia;Medicamento recetado;No necesitó asistencia;223,1
Ambos sexos;Galicia;Medicamento recetado;No consta;7,3
Ambos sexos;Galicia;Atención salud mental (psicólogo, psiquiatra...);TOTAL;2.360,6
Ambos sexos;Galicia;Atención salud mental (psicólogo, psiquiatra...);Sí;27,8
Ambos sexos;Galicia;Atención salud mental (psicólogo, psiquiatra...);No;1.253,6
Ambos sexos;Galicia;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1.072,2
Ambos sexos;Galicia;Atención salud mental (psicólogo, psiquiatra...);No consta;6,9
Ambos sexos;Madrid, Comunidad de;Atención médica;TOTAL;5.649,9
Ambos sexos;Madrid, Comunidad de;Atención médica;Sí;31,1
Ambos sexos;Madrid, Comunidad de;Atención médica;No;5.450,6
Ambos sexos;Madrid, Comunidad de;Atención médica;No necesitó asistencia;168,2
Ambos sexos;Madrid, Comunidad de;Atención médica;No consta;0,0
Ambos sexos;Madrid, Comunidad de;Atención dental;TOTAL;5.649,9
Ambos sexos;Madrid, Comunidad de;Atención dental;Sí;362,3
Ambos sexos;Madrid, Comunidad de;Atención dental;No;4.611,0
Ambos sexos;Madrid, Comunidad de;Atención dental;No necesitó asistencia;672,4
Ambos sexos;Madrid, Comunidad de;Atención dental;No consta;4,3
Ambos sexos;Madrid, Comunidad de;Medicamento recetado;TOTAL;5.649,9
Ambos sexos;Madrid, Comunidad de;Medicamento recetado;Sí;41,6
Ambos sexos;Madrid, Comunidad de;Medicamento recetado;No;5.220,5
Ambos sexos;Madrid, Comunidad de;Medicamento recetado;No necesitó asistencia;387,8
Ambos sexos;Madrid, Comunidad de;Medicamento recetado;No consta;0,0
Ambos sexos;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;5.649,9
Ambos sexos;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);Sí;13,0
Ambos sexos;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No;3.419,5
Ambos sexos;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;2.217,5
Ambos sexos;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Murcia, Región de;Atención médica;TOTAL;1.242,4
Ambos sexos;Murcia, Región de;Atención médica;Sí;36,2
Ambos sexos;Murcia, Región de;Atención médica;No;1.196,1
Ambos sexos;Murcia, Región de;Atención médica;No necesitó asistencia;10,1
Ambos sexos;Murcia, Región de;Atención médica;No consta;0,0
Ambos sexos;Murcia, Región de;Atención dental;TOTAL;1.242,4
Ambos sexos;Murcia, Región de;Atención dental;Sí;205,5
Ambos sexos;Murcia, Región de;Atención dental;No;1.007,3
Ambos sexos;Murcia, Región de;Atención dental;No necesitó asistencia;29,5
Ambos sexos;Murcia, Región de;Atención dental;No consta;0,0
Ambos sexos;Murcia, Región de;Medicamento recetado;TOTAL;1.242,4
Ambos sexos;Murcia, Región de;Medicamento recetado;Sí;21,0
Ambos sexos;Murcia, Región de;Medicamento recetado;No;1.130,4
Ambos sexos;Murcia, Región de;Medicamento recetado;No necesitó asistencia;91,0
Ambos sexos;Murcia, Región de;Medicamento recetado;No consta;0,0
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.242,4
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);Sí;36,0
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No;961,3
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;245,2
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;TOTAL;547,4
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;Sí;3,4
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;No;537,9
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;No necesitó asistencia;6,1
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;No consta;0,0
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;TOTAL;547,4
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;Sí;96,0
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;No;419,2
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;No necesitó asistencia;32,2
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;No consta;0,0
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;TOTAL;547,4
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;Sí;12,3
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;No;517,0
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;No necesitó asistencia;18,1
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;No consta;0,0
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;547,4
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);Sí;6,9
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No;344,6
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;195,8
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;País Vasco;Atención médica;TOTAL;1.863,3
Ambos sexos;País Vasco;Atención médica;Sí;26,6
Ambos sexos;País Vasco;Atención médica;No;1.813,7
Ambos sexos;País Vasco;Atención médica;No necesitó asistencia;21,5
Ambos sexos;País Vasco;Atención médica;No consta;1,4
Ambos sexos;País Vasco;Atención dental;TOTAL;1.863,3
Ambos sexos;País Vasco;Atención dental;Sí;112,8
Ambos sexos;País Vasco;Atención dental;No;1.668,1
Ambos sexos;País Vasco;Atención dental;No necesitó asistencia;75,7
Ambos sexos;País Vasco;Atención dental;No consta;6,7
Ambos sexos;País Vasco;Medicamento recetado;TOTAL;1.863,3
Ambos sexos;País Vasco;Medicamento recetado;Sí;27,6
Ambos sexos;País Vasco;Medicamento recetado;No;1.755,7
Ambos sexos;País Vasco;Medicamento recetado;No necesitó asistencia;77,1
Ambos sexos;País Vasco;Medicamento recetado;No consta;2,9
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.863,3
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);Sí;12,5
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No;1.371,3
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;472,4
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No consta;7,1
Ambos sexos;Rioja, La;Atención médica;TOTAL;267,4
Ambos sexos;Rioja, La;Atención médica;Sí;0,2
Ambos sexos;Rioja, La;Atención médica;No;263,4
Ambos sexos;Rioja, La;Atención médica;No necesitó asistencia;3,7
Ambos sexos;Rioja, La;Atención médica;No consta;0,0
Ambos sexos;Rioja, La;Atención dental;TOTAL;267,4
Ambos sexos;Rioja, La;Atención dental;Sí;25,8
Ambos sexos;Rioja, La;Atención dental;No;233,6
Ambos sexos;Rioja, La;Atención dental;No necesitó asistencia;7,9
Ambos sexos;Rioja, La;Atención dental;No consta;0,0
Ambos sexos;Rioja, La;Medicamento recetado;TOTAL;267,4
Ambos sexos;Rioja, La;Medicamento recetado;Sí;3,7
Ambos sexos;Rioja, La;Medicamento recetado;No;256,1
Ambos sexos;Rioja, La;Medicamento recetado;No necesitó asistencia;7,5
Ambos sexos;Rioja, La;Medicamento recetado;No consta;0,0
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);TOTAL;267,4
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);Sí;1,6
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No;191,1
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;74,6
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Ceuta;Atención médica;TOTAL;66,8
Ambos sexos;Ceuta;Atención médica;Sí;0,0
Ambos sexos;Ceuta;Atención médica;No;66,8
Ambos sexos;Ceuta;Atención médica;No necesitó asistencia;0,0
Ambos sexos;Ceuta;Atención médica;No consta;0,0
Ambos sexos;Ceuta;Atención dental;TOTAL;66,8
Ambos sexos;Ceuta;Atención dental;Sí;2,1
Ambos sexos;Ceuta;Atención dental;No;64,7
Ambos sexos;Ceuta;Atención dental;No necesitó asistencia;0,0
Ambos sexos;Ceuta;Atención dental;No consta;0,0
Ambos sexos;Ceuta;Medicamento recetado;TOTAL;66,8
Ambos sexos;Ceuta;Medicamento recetado;Sí;0,2
Ambos sexos;Ceuta;Medicamento recetado;No;66,6
Ambos sexos;Ceuta;Medicamento recetado;No necesitó asistencia;0,0
Ambos sexos;Ceuta;Medicamento recetado;No consta;0,0
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);TOTAL;66,8
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No;65,7
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1,1
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Melilla;Atención médica;TOTAL;64,3
Ambos sexos;Melilla;Atención médica;Sí;5,7
Ambos sexos;Melilla;Atención médica;No;48,2
Ambos sexos;Melilla;Atención médica;No necesitó asistencia;10,4
